Episode 501 | joint_return= 0.00 | mean_joint_return= 0.00 | eps=0.999 | loss= 2.4614 | per_agent=[0.0, 0.0]
Episode 502 | joint_return= 2.00 | mean_joint_return= 1.00 | eps=0.997 | loss= 0.0013 | per_agent=[1.0, 1.0]
Episode 503 | joint_return= -2.00 | mean_joint_return= 0.00 | eps=0.996 | loss= 0.0010 | per_agent=[-1.0, -1.0]
Episode 504 | joint_return= 0.00 | mean_joint_return= 0.00 | eps=0.995 | loss= 0.0008 | per_agent=[0.0, 0.0]
Episode 505 | joint_return= -2.00 | mean_joint_return= -0.40 | eps=0.993 | loss= 0.0006 | per_agent=[-1.0, -1.0]
Episode 506 | joint_return= -2.00 | mean_joint_return= -0.67 | eps=0.992 | loss= 0.0007 | per_agent=[-1.0, -1.0]
Episode 507 | joint_return= 0.00 | mean_joint_return= -0.57 | eps=0.991 | loss= 0.0008 | per_agent=[0.0, 0.0]
Episode 508 | joint_return= -2.00 | mean_joint_return= -0.75 | eps=0.989 | loss= 0.0010 | per_agent=[-1.0, -1.0]
Episode 509 | joint_return= -2.00 | mean_joint_return= -0.89 | eps=0.988 | loss= 0.0009 | per_agent=[-1.0, -1.0]
Episode 510 | joint_return= 0.00 | mean_joint_return= -0.80 | eps=0.986 | loss= 0.0007 | per_agent=[0.0, 0.0]
Episode 511 | joint_return= 0.00 | mean_joint_return= -0.73 | eps=0.985 | loss= 0.0011 | per_agent=[0.0, 0.0]
Episode 512 | joint_return= -4.00 | mean_joint_return= -1.00 | eps=0.984 | loss= 0.0017 | per_agent=[-2.0, -2.0]
Episode 513 | joint_return= -2.00 | mean_joint_return= -1.08 | eps=0.982 | loss= 0.0010 | per_agent=[-1.0, -1.0]
Episode 514 | joint_return= 0.00 | mean_joint_return= -1.00 | eps=0.981 | loss= 0.0012 | per_agent=[0.0, 0.0]
Episode 515 | joint_return= -2.00 | mean_joint_return= -1.07 | eps=0.980 | loss= 0.0013 | per_agent=[-1.0, -1.0]
Episode 516 | joint_return= -2.00 | mean_joint_return= -1.12 | eps=0.978 | loss= 0.0013 | per_agent=[-1.0, -1.0]
Episode 517 | joint_return= 0.00 | mean_joint_return= -1.06 | eps=0.977 | loss= 0.0010 | per_agent=[0.0, 0.0]
Episode 518 | joint_return= 0.00 | mean_joint_return= -1.00 | eps=0.976 | loss= 0.0013 | per_agent=[0.0, 0.0]
Episode 519 | joint_return= -2.00 | mean_joint_return= -1.05 | eps=0.974 | loss= 0.0011 | per_agent=[-1.0, -1.0]
Episode 520 | joint_return= 0.00 | mean_joint_return= -1.00 | eps=0.973 | loss= 0.0012 | per_agent=[0.0, 0.0]
Episode 521 | joint_return= -2.00 | mean_joint_return= -1.10 | eps=0.972 | loss= 0.0012 | per_agent=[-1.0, -1.0]
Episode 522 | joint_return= -2.00 | mean_joint_return= -1.30 | eps=0.970 | loss= 0.0020 | per_agent=[-1.0, -1.0]
Episode 523 | joint_return= -2.00 | mean_joint_return= -1.30 | eps=0.969 | loss= 0.0015 | per_agent=[-1.0, -1.0]
Episode 524 | joint_return= 0.00 | mean_joint_return= -1.30 | eps=0.967 | loss= 0.0016 | per_agent=[0.0, 0.0]
Episode 525 | joint_return= 0.00 | mean_joint_return= -1.20 | eps=0.966 | loss= 0.0028 | per_agent=[0.0, 0.0]
Episode 526 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.965 | loss= 0.0019 | per_agent=[-1.0, -1.0]
Episode 527 | joint_return= -4.00 | mean_joint_return= -1.40 | eps=0.963 | loss= 0.0020 | per_agent=[-2.0, -2.0]
Episode 528 | joint_return= 0.00 | mean_joint_return= -1.30 | eps=0.962 | loss= 0.0019 | per_agent=[0.0, 0.0]
Episode 529 | joint_return= -2.00 | mean_joint_return= -1.30 | eps=0.961 | loss= 0.0027 | per_agent=[-1.0, -1.0]
Episode 530 | joint_return= 0.00 | mean_joint_return= -1.30 | eps=0.959 | loss= 0.0020 | per_agent=[0.0, 0.0]
